,Region,year,Happiness Score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,CountryNum
0,Central and Eastern Europe,2005,5.194,10.108,0.93,64.6,0.697,-0.161,0.903,0.675,0.29,208
1,Central and Eastern Europe,2006,5.4222,10.1532,0.9228,65.032,0.687,-0.159,0.8710000000000001,0.652,0.2636,208
2,Central and Eastern Europe,2007,5.155714285714285,9.859499999999999,0.8549285714285714,65.42107142857142,0.5928571428571429,-0.11471428571428573,0.9022142857142857,0.6337857142857143,0.2681428571428571,208
3,Central and Eastern Europe,2008,5.383666666666667,10.203000000000001,0.891,64.49333333333334,0.631,-0.22633333333333336,0.85,0.5896666666666667,0.23633333333333337,208
4,Central and Eastern Europe,2009,5.125307692307692,9.851153846153846,0.8393846153846154,66.03607692307693,0.5495384615384615,-0.13507692307692307,0.9016923076923077,0.5987692307692307,0.30553846153846154,208
5,Central and Eastern Europe,2010,5.179571428571428,9.89057142857143,0.8254285714285715,66.51442857142857,0.5911428571428571,-0.12371428571428571,0.9037857142857143,0.6037142857142858,0.30328571428571427,208
6,Central and Eastern Europe,2011,5.3026875,9.9456875,0.8424375000000001,66.5838125,0.6268125,-0.1186875,0.904875,0.60475,0.28925,208
7,Central and Eastern Europe,2012,5.3650625,9.953625,0.8439375,66.7606875,0.612125,-0.123875,0.9041875,0.6115,0.29781250000000004,208
8,Central and Eastern Europe,2013,5.33125,9.9731875,0.840375,66.936375,0.63675,-0.112,0.8888125,0.6340625,0.2926875,208
9,Central and Eastern Europe,2014,5.49075,9.9989375,0.8326875,67.1108125,0.645,-0.0329375,0.88225,0.63725,0.2763125,208
10,Central and Eastern Europe,2015,5.5045625,10.03425,0.8320625,67.2840625,0.6878125,-0.11737500000000001,0.861625,0.6484375,0.2689375,208
11,Central and Eastern Europe,2016,5.62825,10.0673125,0.8769375,67.6203125,0.7166875,-0.091875,0.8824375,0.6615,0.259375,208
12,Central and Eastern Europe,2017,5.7505625,10.1095625,0.8599375,67.95643749999999,0.7431875,-0.0950625,0.83675,0.649375,0.2508125,208
13,Central and Eastern Europe,2018,5.8980625,10.151625,0.8813125,68.2930625,0.75625,-0.1418125,0.8535,0.654875,0.248375,208
14,Central and Eastern Europe,2019,5.849066666666667,10.1586,0.8886666666666667,68.48493333333333,0.7894666666666666,-0.12040000000000001,0.8467333333333333,0.6495333333333334,0.2406,208
15,Central and Eastern Europe,2020,6.062200000000001,10.129133333333334,0.9028666666666666,69.04400000000001,0.8228666666666666,-0.018266666666666667,0.8303999999999999,0.6976666666666667,0.2846666666666666,208
16,CIS,2006,4.834727272727273,8.976272727272727,0.8184545454545454,61.13999999999999,0.6607272727272727,-0.21127272727272725,0.8177272727272729,0.5921818181818183,0.25027272727272726,152
17,CIS,2007,4.8873,9.1506,0.7849,61.42999999999999,0.6349,-0.1998,0.8364,0.5881000000000001,0.23159999999999997,152
18,CIS,2008,5.067333333333334,9.157222222222222,0.7718888888888888,61.75555555555555,0.6344444444444445,-0.15522222222222223,0.8236666666666667,0.5772222222222223,0.21966666666666665,152
19,CIS,2009,4.9022,9.1713,0.7901,62.07000000000001,0.604,-0.1748,0.8221,0.5747,0.2271,152
20,CIS,2010,4.9139,9.215399999999999,0.7993,62.39,0.6202,-0.1508,0.8163,0.5777,0.22890000000000002,152
21,CIS,2011,5.026454545454545,9.191272727272727,0.8113636363636364,62.77090909090909,0.6780909090909092,-0.16445454545454544,0.768,0.6060909090909091,0.22518181818181818,152
22,CIS,2012,5.214909090909091,9.220454545454546,0.8098181818181818,63.07818181818182,0.6714545454545454,-0.16063636363636366,0.761090909090909,0.6212727272727272,0.22945454545454547,152
23,CIS,2013,5.284636363636364,9.26209090909091,0.8145454545454546,63.38545454545454,0.699,-0.15027272727272728,0.7573636363636363,0.6465454545454545,0.21481818181818182,152
24,CIS,2014,5.293,9.286636363636363,0.8222727272727273,63.692727272727275,0.7134545454545455,-0.05263636363636364,0.7571818181818183,0.6488181818181817,0.21390909090909094,152
25,CIS,2015,5.205909090909091,9.286636363636363,0.8384545454545456,64.0,0.6971818181818182,-0.03918181818181818,0.7528181818181818,0.6546363636363636,0.21445454545454545,152
26,CIS,2016,5.0212,9.3539,0.8278000000000001,64.31,0.6662,-0.0935,0.7788999999999999,0.628,0.2171,152
27,CIS,2017,5.311090909090908,9.33309090909091,0.8147272727272727,64.65454545454544,0.7355454545454545,-0.053,0.7544545454545454,0.6528181818181819,0.23445454545454547,152
28,CIS,2018,5.3491,9.4967,0.8574999999999999,65.07,0.7969999999999999,-0.062,0.7699,0.6342,0.2391,152
29,CIS,2019,5.5431,9.5311,0.8606,65.4,0.8122,-0.0874,0.6954,0.679,0.2257,152
30,CIS,2020,5.686333333333334,9.543166666666666,0.872,65.21666666666667,0.8213333333333334,-0.029500000000000002,0.8141666666666666,0.6930000000000001,0.241,152
31,East Asia,2006,5.7605,10.461500000000001,0.8285,69.44,0.6725,-0.040999999999999995,0.8225,0.7324999999999999,0.21600000000000003,43
32,East Asia,2007,5.538,9.917333333333334,0.882,67.58666666666666,0.7443333333333334,-0.028333333333333332,0.8433333333333334,0.664,0.212,43
33,East Asia,2008,5.3355,10.10975,0.84775,68.195,0.6055,-0.0465,0.8335,0.70075,0.193,43
34,East Asia,2009,5.746499999999999,10.4385,0.8495,72.39,0.665,-0.153,0.7635000000000001,0.741,0.189,43
35,East Asia,2010,5.747,10.1475,0.86325,68.75,0.68925,-0.01725,0.81775,0.7615,0.151,43
36,East Asia,2011,6.080333333333333,10.022666666666666,0.8913333333333333,68.71333333333332,0.7319999999999999,0.017,0.8306666666666667,0.7080000000000001,0.16733333333333333,43
37,East Asia,2012,4.885,9.158,0.919,60.8,0.688,0.107,0.932,0.689,0.181,43
38,East Asia,2013,5.610333333333333,10.112666666666668,0.8853333333333334,69.20666666666666,0.737,-0.020333333333333328,0.8033333333333333,0.7063333333333334,0.18099999999999997,43
39,East Asia,2014,5.516333333333333,10.141666666666666,0.8603333333333333,69.45333333333333,0.7376666666666667,-0.012000000000000005,0.7866666666666666,0.674,0.214,43
40,East Asia,2015,5.547666666666667,10.154666666666666,0.8656666666666667,69.7,0.7113333333333333,-0.006000000000000003,0.7983333333333333,0.6903333333333334,0.20933333333333334,43
41,East Asia,2016,5.6610000000000005,10.162666666666667,0.886,69.89999999999999,0.729,0.018,0.82,0.71,0.19866666666666669,43
42,East Asia,2017,5.706333333333333,10.191,0.871,70.10000000000001,0.6873333333333335,-0.024333333333333332,0.7916666666666666,0.6793333333333335,0.20833333333333334,43
43,East Asia,2018,5.699666666666666,10.217333333333334,0.8753333333333333,70.3,0.6896666666666667,-0.09866666666666668,0.7776666666666667,0.6726666666666666,0.19799999999999998,43
44,East Asia,2019,5.791333333333333,10.237,0.8690000000000001,70.5,0.741,-0.05366666666666667,0.7360000000000001,0.7113333333333333,0.19899999999999998,43
45,East Asia,2020,5.974,10.208,0.871,70.7,0.745,-0.07466666666666667,0.7056666666666667,0.6726666666666666,0.231,43
46,Latin America and Caribbean,2006,5.5761111111111115,9.104388888888888,0.888,64.10333333333332,0.7353888888888889,0.020833333333333332,0.7952222222222223,0.7961111111111111,0.2912222222222222,272
47,Latin America and Caribbean,2007,5.801941176470589,9.285058823529411,0.8491764705882353,65.19294117647058,0.7264117647058823,0.02605882352941177,0.8126470588235294,0.8119411764705883,0.2683529411764706,272
48,Latin America and Caribbean,2008,5.750157894736842,9.239842105263158,0.8461052631578948,64.08842105263159,0.7045789473684211,-0.0032105263157894736,0.7923157894736842,0.7931052631578946,0.2697894736842105,272
49,Latin America and Caribbean,2009,6.366666666666667,9.315222222222223,0.8614444444444445,65.6,0.7308333333333333,-0.016,0.7847222222222222,0.8278888888888889,0.25183333333333335,272
50,Latin America and Caribbean,2010,6.179631578947368,9.262842105263157,0.8510526315789475,64.03157894736842,0.7400526315789474,-0.010210526315789474,0.7671578947368421,0.8126842105263158,0.24663157894736842,272
51,Latin America and Caribbean,2011,6.04575,9.2995,0.82805,64.548,0.77515,-0.03055,0.771,0.8138,0.27035,272
52,Latin America and Caribbean,2012,6.057888888888889,9.31388888888889,0.8446666666666667,64.88111111111111,0.7801111111111111,-0.0004999999999999974,0.7680555555555555,0.8150555555555555,0.2882777777777778,272
53,Latin America and Caribbean,2013,6.159000000000001,9.34545,0.8500500000000001,65.374,0.7886,-0.03425,0.7755,0.8131999999999999,0.28700000000000003,272
54,Latin America and Caribbean,2014,6.0653500000000005,9.35445,0.8484999999999999,65.787,0.77525,-0.024800000000000003,0.7706999999999999,0.81465,0.28890000000000005,272
55,Latin America and Caribbean,2015,5.940894736842105,9.350947368421053,0.8390000000000001,66.17368421052632,0.7702105263157895,-0.03905263157894737,0.7922105263157895,0.8073157894736842,0.3056315789473684,272
56,Latin America and Caribbean,2016,5.897,9.363,0.8467368421052632,66.40526315789474,0.7796842105263158,-0.04815789473684211,0.8073157894736842,0.8064210526315789,0.30926315789473685,272
57,Latin America and Caribbean,2017,5.992649999999999,9.3721,0.85975,66.66,0.8314999999999999,-0.08514999999999999,0.78915,0.7999499999999999,0.29635,272
58,Latin America and Caribbean,2018,6.006764705882353,9.407411764705884,0.8448823529411764,66.95882352941176,0.8349411764705882,-0.06735294117647059,0.7933529411764706,0.8172352941176471,0.30923529411764705,272
59,Latin America and Caribbean,2019,6.175166666666667,9.506499999999999,0.8543333333333334,67.76666666666667,0.8567222222222222,-0.09838888888888889,0.7996666666666666,0.8271111111111111,0.302,272
60,Latin America and Caribbean,2020,5.768800000000001,9.5669,0.8224,67.89,0.8475999999999999,-0.0895,0.7376,0.7836000000000001,0.3405,272
61,Middle East and North Africa,2005,5.168,9.036,0.848,59.7,0.817,-0.121,0.914,0.735,0.346,132
62,Middle East and North Africa,2006,5.821000000000001,10.720999999999998,0.8916666666666666,64.86666666666667,0.779,-0.06666666666666667,0.4776666666666667,0.7133333333333334,0.259,132
63,Middle East and North Africa,2007,5.515000000000001,9.417,0.7695,63.869499999999995,0.5491666666666667,-0.036,0.827,0.6478333333333334,0.3471666666666667,132
64,Middle East and North Africa,2008,5.31525,9.60225,0.728125,63.474375,0.511,-0.025374999999999998,0.8203750000000001,0.6205,0.34475,132
65,Middle East and North Africa,2009,5.682666666666666,9.813166666666666,0.8385833333333333,63.464333333333336,0.6535,-0.04516666666666667,0.7250833333333334,0.646,0.3476666666666666,132
66,Middle East and North Africa,2010,5.602818181818182,9.751,0.8286363636363636,63.68636363636363,0.6262727272727273,-0.04509090909090909,0.7490909090909091,0.6423636363636364,0.32127272727272727,132
67,Middle East and North Africa,2011,5.083083333333334,9.459333333333333,0.7546666666666666,62.76333333333333,0.6136666666666667,-0.07358333333333333,0.7857500000000001,0.5926666666666667,0.35025,132
68,Middle East and North Africa,2012,5.006454545454545,9.382454545454546,0.7491818181818182,62.43090909090909,0.5750909090909091,-0.10009090909090909,0.8193636363636364,0.5750909090909091,0.32381818181818184,132
69,Middle East and North Africa,2013,4.937111111111111,9.375111111111112,0.7124444444444444,62.94222222222223,0.5777777777777778,-0.07866666666666666,0.8248888888888889,0.6176666666666667,0.3733333333333333,132
70,Middle East and North Africa,2014,4.983333333333333,9.41788888888889,0.7302222222222222,62.486666666666665,0.6257777777777778,-0.042777777777777776,0.7931111111111111,0.5637777777777777,0.36477777777777776,132
71,Middle East and North Africa,2015,5.005444444444445,9.372,0.703,63.72222222222222,0.675,-0.035777777777777776,0.7905555555555556,0.5790000000000001,0.3587777777777778,132
72,Middle East and North Africa,2016,5.16075,9.5945,0.7561249999999999,65.2625,0.699875,-0.03625,0.784875,0.594875,0.370625,132
73,Middle East and North Africa,2017,5.1532,9.5695,0.7604,65.3,0.6477,-0.0721,0.7748,0.5696,0.3645,132
74,Middle East and North Africa,2018,5.149555555555555,9.585222222222221,0.7798888888888889,65.56666666666666,0.6586666666666666,-0.12688888888888888,0.8083333333333333,0.5762222222222222,0.34933333333333333,132
75,Middle East and North Africa,2019,5.000375,9.623625,0.768875,66.5125,0.656125,-0.1065,0.7855,0.53975,0.3625,132
76,Middle East and North Africa,2020,5.141333333333333,9.568166666666666,0.7448333333333333,66.5,0.7163333333333334,-0.12066666666666669,0.8115,0.57,0.39199999999999996,132
77,North America and ANZ,2005,7.418,10.652,0.962,71.3,0.957,0.256,0.503,0.839,0.233,59
78,North America and ANZ,2006,7.305,10.526,0.946,71.2,0.932,0.312,0.224,0.88,0.219,59
79,North America and ANZ,2007,6.349666666666667,9.411999999999999,0.8213333333333334,61.34,0.8106666666666666,0.2356666666666667,0.53,0.7493333333333333,0.26099999999999995,59
80,North America and ANZ,2008,7.35025,10.72675,0.94575,70.925,0.90325,0.28,0.45075,0.8605,0.21975,59
81,North America and ANZ,2009,7.323,10.7925,0.9275,70.28,0.873,0.2235,0.539,0.855,0.255,59
82,North America and ANZ,2010,6.611199999999999,9.991,0.8587999999999999,65.56,0.8603999999999999,0.20179999999999998,0.5269999999999999,0.7888,0.2352,59
83,North America and ANZ,2011,6.5632,10.009,0.8304,65.708,0.8948,0.2102,0.523,0.7842,0.2406,59
84,North America and ANZ,2012,7.22175,10.74475,0.9315,71.455,0.8945000000000001,0.2665,0.45825,0.842,0.2275,59
85,North America and ANZ,2013,7.3717500000000005,10.757249999999999,0.93675,71.545,0.89625,0.274,0.47425,0.82975,0.21275,59
86,North America and ANZ,2014,7.2625,10.77375,0.9215,71.635,0.915,0.2895,0.46475,0.8225,0.246,59
87,North America and ANZ,2015,7.251,10.7845,0.9455,71.725,0.911,0.28325,0.417,0.82075,0.23274999999999998,59
88,North America and ANZ,2016,6.2436,9.9916,0.798,66.47999999999999,0.8286,0.1786,0.532,0.7668,0.28759999999999997,59
89,North America and ANZ,2017,6.493399999999999,10.008199999999999,0.8160000000000001,66.66,0.8622,0.2088,0.5132,0.7802,0.2964,59
90,North America and ANZ,2018,7.15125,10.8235,0.93025,72.175,0.909,0.122,0.4235,0.81075,0.2265,59
91,North America and ANZ,2019,7.123,10.831,0.931,72.325,0.8945000000000001,0.1335,0.45175,0.80575,0.23049999999999998,59
92,North America and ANZ,2020,7.11175,10.77275,0.93925,72.475,0.89,0.10475,0.47150000000000003,0.80025,0.254,59
93,South Asia,2006,4.332,8.3475,0.768,62.400000000000006,0.6679999999999999,0.065,0.812,0.6785,0.2685,79
94,South Asia,2007,4.8936,8.185599999999999,0.6374,58.827999999999996,0.5758,0.101,0.8400000000000001,0.6676,0.2496,79
95,South Asia,2008,4.534666666666666,8.075666666666667,0.6015,57.79333333333333,0.6445,0.10100000000000002,0.864,0.6845,0.2293333333333333,79
96,South Asia,2009,4.724,8.132333333333333,0.6496666666666667,58.163333333333334,0.632,0.08600000000000001,0.8391666666666667,0.6673333333333332,0.24949999999999997,79
97,South Asia,2010,4.786333333333333,8.186166666666667,0.6428333333333334,58.53333333333333,0.6105,0.13566666666666669,0.8126666666666668,0.6816666666666666,0.2658333333333333,79
98,South Asia,2011,4.451666666666667,8.215166666666667,0.6288333333333334,58.79333333333333,0.6493333333333333,0.03666666666666666,0.8246666666666668,0.6826666666666666,0.24566666666666667,79
99,South Asia,2012,4.4695,8.2695,0.619,59.053333333333335,0.6021666666666666,0.11083333333333334,0.8198333333333333,0.7196666666666666,0.251,79
100,South Asia,2013,4.461333333333333,8.304,0.6204999999999999,59.31333333333333,0.6773333333333333,0.108,0.8181666666666666,0.6678333333333333,0.26833333333333337,79
101,South Asia,2014,4.4468000000000005,8.3768,0.658,59.012,0.6881999999999999,0.1276,0.8024000000000001,0.657,0.28579999999999994,79
102,South Asia,2015,4.534166666666667,8.373666666666667,0.6521666666666667,59.833333333333336,0.7054999999999999,0.10633333333333334,0.7963333333333332,0.6426666666666666,0.3015,79
103,South Asia,2016,4.7208,8.2022,0.6572,58.92,0.7382,0.0524,0.7712,0.619,0.3262,79
104,South Asia,2017,4.319500000000001,8.444666666666667,0.69,60.63333333333333,0.7656666666666667,0.020333333333333335,0.783,0.6164999999999999,0.3095,79
105,South Asia,2018,4.304666666666667,8.4805,0.6896666666666667,61.03333333333333,0.7611666666666667,0.04083333333333333,0.8051666666666667,0.5928333333333333,0.36483333333333334,79
106,South Asia,2019,4.1405,8.508333333333333,0.643,61.43333333333334,0.7451666666666666,0.04916666666666667,0.7805,0.5781666666666666,0.40549999999999997,79
107,South Asia,2020,4.7524999999999995,8.587499999999999,0.6779999999999999,63.099999999999994,0.8415,0.033,0.761,0.667,0.35750000000000004,79
108,Southeast Asia,2006,5.4799999999999995,9.100249999999999,0.8345,60.715,0.8345,0.3295,0.8195,0.81875,0.20900000000000002,105
109,Southeast Asia,2007,5.688285714285714,9.258285714285714,0.8331428571428571,63.42,0.8315714285714285,0.2327142857142857,0.7050000000000001,0.7645714285714286,0.20257142857142857,105
110,Southeast Asia,2008,5.309375,9.108625,0.773,62.832499999999996,0.806875,0.178,0.74775,0.770875,0.245625,105
111,Southeast Asia,2009,5.253285714285714,9.212428571428571,0.8197142857142856,64.25714285714285,0.8495714285714285,0.10371428571428572,0.7594285714285715,0.7585714285714286,0.20285714285714285,105
112,Southeast Asia,2010,5.452,9.274714285714285,0.8151428571428571,64.55714285714285,0.8341428571428571,0.19642857142857142,0.7465714285714286,0.7867142857142857,0.23642857142857143,105
113,Southeast Asia,2011,5.47625,9.215125,0.809625,63.72,0.872125,0.216,0.714125,0.78125,0.22162500000000002,105
114,Southeast Asia,2012,5.208142857142858,8.902571428571429,0.7695714285714285,62.4,0.8402857142857142,0.2265714285714286,0.8412857142857143,0.8118571428571428,0.23900000000000002,105
115,Southeast Asia,2013,5.2095,9.248375,0.7965,64.245,0.840375,0.25725,0.734,0.794625,0.251125,105
116,Southeast Asia,2014,5.8004999999999995,9.549666666666667,0.8381666666666666,65.16666666666667,0.8503333333333334,0.263,0.7496666666666667,0.8116666666666666,0.27799999999999997,105
117,Southeast Asia,2015,5.445714285714286,9.41,0.8134285714285714,64.35714285714286,0.8431428571428572,0.28657142857142853,0.7157142857142856,0.8354285714285714,0.27514285714285713,105
118,Southeast Asia,2016,5.26,9.259,0.8372857142857143,64.72857142857143,0.8992857142857142,0.22757142857142856,0.6932857142857143,0.7845714285714286,0.2691428571428572,105
119,Southeast Asia,2017,5.196,9.308285714285715,0.8125714285714285,63.628571428571426,0.9115714285714286,0.21514285714285714,0.6698571428571428,0.8094285714285715,0.3007142857142857,105
120,Southeast Asia,2018,5.437625,9.537125,0.816375,65.075,0.901875,0.16425,0.697625,0.8015,0.252125,105
121,Southeast Asia,2019,5.504333333333333,9.43588888888889,0.8240000000000001,64.94444444444444,0.9157777777777779,0.16000000000000003,0.6951111111111111,0.8095555555555555,0.25922222222222224,105
122,Southeast Asia,2020,5.0114,8.9412,0.7656000000000001,62.239999999999995,0.8949999999999999,0.16399999999999998,0.784,0.8173999999999999,0.33799999999999997,105
123,Sub-Saharan Africa,2006,4.018578947368421,7.628578947368422,0.7210526315789474,46.59684210526316,0.6605263157894737,0.013526315789473685,0.8058421052631579,0.6717368421052632,0.2518947368421052,397
124,Sub-Saharan Africa,2007,4.39221052631579,7.764421052631579,0.7207894736842105,47.76315789473684,0.6709473684210526,0.016473684210526317,0.8208947368421052,0.6948947368421052,0.22610526315789475,397
125,Sub-Saharan Africa,2008,4.272458333333334,7.72675,0.6621666666666667,49.17166666666666,0.5921666666666666,-0.005333333333333335,0.8515,0.6377916666666666,0.24050000000000002,397
126,Sub-Saharan Africa,2009,4.304399999999999,7.736700000000001,0.7219,49.973,0.6446,0.0014000000000000006,0.8257999999999999,0.6942999999999999,0.19055,397
127,Sub-Saharan Africa,2010,4.189611111111111,7.948833333333334,0.7944444444444445,50.57222222222222,0.7049444444444445,-0.014277777777777778,0.8191666666666666,0.7026666666666667,0.18527777777777776,397
128,Sub-Saharan Africa,2011,4.4348064516129035,7.899129032258064,0.7300967741935483,51.662838709677416,0.7015806451612903,-0.04754838709677419,0.7884193548387096,0.6797741935483871,0.22358064516129034,397
129,Sub-Saharan Africa,2012,4.272769230769231,7.94976923076923,0.7351153846153846,52.74692307692308,0.6521538461538461,-0.03288461538461539,0.7931153846153846,0.6763076923076923,0.2126923076923077,397
130,Sub-Saharan Africa,2013,4.086535714285715,8.010464285714287,0.7360714285714286,52.94214285714286,0.6998571428571428,-0.01492857142857143,0.7852499999999999,0.6801785714285715,0.24539285714285713,397
131,Sub-Saharan Africa,2014,4.08303125,8.03046875,0.73615625,54.011875,0.701125,-0.01859375,0.76334375,0.68009375,0.2739375,397
132,Sub-Saharan Africa,2015,4.203290322580645,7.969322580645161,0.7014516129032259,53.92580645161291,0.7258387096774194,-0.0026774193548387104,0.7853225806451613,0.6722258064516129,0.2859032258064516,397
133,Sub-Saharan Africa,2016,4.186064516129032,8.026806451612902,0.7113225806451614,54.49354838709677,0.7299677419354839,-0.0027419354838709676,0.7931935483870968,0.6915483870967741,0.32387096774193547,397
134,Sub-Saharan Africa,2017,4.424264705882353,8.03779411764706,0.697264705882353,55.029411764705884,0.7502941176470589,-0.018470588235294117,0.7680294117647058,0.687735294117647,0.34226470588235297,397
135,Sub-Saharan Africa,2018,4.533799999999999,8.0768,0.6937714285714286,55.71008571428572,0.7353142857142857,0.008085714285714283,0.7658,0.7041428571428572,0.3442,397
136,Sub-Saharan Africa,2019,4.499314285714286,8.1258,0.7002,56.12771428571428,0.7241428571428571,0.010628571428571426,0.7672857142857143,0.6933142857142857,0.3379714285714286,397
137,Sub-Saharan Africa,2020,4.761571428571429,8.422214285714286,0.7334285714285714,57.06428571428571,0.7437142857142858,0.07585714285714286,0.7870714285714285,0.7003571428571428,0.30114285714285716,397
138,Western Europe,2005,6.9345,10.661,0.9279999999999999,70.4,0.86175,0.08574999999999999,0.64175,0.77425,0.21000000000000002,252
139,Western Europe,2006,6.881625,10.778125,0.938125,70.785,0.904875,0.112875,0.523875,0.798875,0.229875,252
140,Western Europe,2007,6.9632000000000005,10.5577,0.9182,70.022,0.8024000000000001,0.1165,0.6271,0.7745,0.2314,252
141,Western Europe,2008,7.165466666666666,10.778866666666666,0.9368,71.15333333333334,0.8381333333333333,0.12326666666666666,0.5799333333333333,0.7852,0.20333333333333334,252
142,Western Europe,2009,6.8095,10.772583333333332,0.9090833333333334,71.61333333333333,0.8003333333333332,0.10933333333333334,0.6002500000000001,0.7805833333333334,0.24966666666666668,252
143,Western Europe,2010,6.8180625,10.7465,0.92625,71.51875,0.8238125000000001,0.08,0.619875,0.785,0.225375,252
144,Western Europe,2011,6.81775,10.749125,0.9235625,71.65125,0.857125,0.08256250000000001,0.6140625,0.777375,0.226,252
145,Western Europe,2012,6.837578947368421,10.766684210526316,0.9167368421052631,71.91157894736841,0.8366842105263158,0.08194736842105263,0.6023157894736842,0.7918947368421052,0.2454736842105263,252
146,Western Europe,2013,6.699764705882353,10.728941176470588,0.903764705882353,71.97058823529412,0.8181764705882353,0.07300000000000001,0.6221176470588236,0.7744705882352941,0.25976470588235295,252
147,Western Europe,2014,6.6357,10.66365,0.9035,71.64099999999999,0.8435499999999999,0.08420000000000001,0.56635,0.7754,0.25925000000000004,252
148,Western Europe,2015,6.73275,10.7896,0.9147000000000001,72.31,0.84185,0.10734999999999999,0.5291,0.7744500000000001,0.2408,252
149,Western Europe,2016,6.81405,10.80935,0.9205500000000001,72.47999999999999,0.8468,0.061149999999999996,0.55045,0.76585,0.24595000000000003,252
150,Western Europe,2017,6.8919,10.831,0.9151,72.65,0.8550000000000001,0.0879,0.5191,0.76145,0.23015,252
151,Western Europe,2018,6.965947368421053,10.845473684210527,0.9157368421052632,72.81052631578947,0.8496315789473684,-0.00205263157894737,0.5148947368421052,0.759157894736842,0.24889473684210528,252
152,Western Europe,2019,6.9873157894736835,10.857052631578947,0.916,72.98947368421052,0.8589473684210527,-0.002315789473684207,0.5191578947368422,0.7583157894736842,0.242,252
153,Western Europe,2020,7.003058823529412,10.766470588235293,0.9248823529411765,73.19411764705882,0.8664117647058823,-0.03329411764705882,0.48205882352941176,0.7481176470588236,0.24570588235294116,252
